Store No,Opportunity Est Date,Product,Opportunity ID,Opportunity Name,Project_Status,Opportunity_Status, Opportunity Usage ,Opportunity Stage
24848972,30/04/2018,products: High Performance Compute,pr4282,App Migration,Inactive,In Progress,"20,000",Stage 0
71515614,31/01/2019,products: EAI,pr4283,phase projects,Inactive,Completed,"2,730",Stage 1
83232144,01/05/2019,products: Infrastructure Migration,pr4284,phase of migration,Active,In Progress,"2,000",Stage 0
85555172,30/04/2018,products: EAI,pr4285,default method for experimentation,Inactive,In Progress,100,Stage 2
93636603,30/04/2018,products: EAI,pr4286,App Sprint,Active,In Progress,100,Stage 1
96464132,30/04/2018,products: EAI,pr4287,Access to All users,Active,Blocked,"5,000",Stage 1
89393970,31/12/2017,products: Infrastructure Migration,pr4288,Accuvate initial work,Active,In Progress,"10,000",Stage 5
78484937,01/01/2019,products: EAI,pr4289,Managed Service ,Active,In Progress,"2,000",Stage 1
20909162,28/06/2018,products: EAI,pr4290,Managed Disk implementation,Inactive,Completed,500,Stage 5
99696211,22/12/2018,products: Infrastructure Migration,pr4291,Managed Instance,Active,In Progress,"15,000",Stage 5
87373132,28/03/2019,products: Infrastructure Migration,pr4292,Accuvate initial work,Inactive,In Progress,"1,000",Stage 4
77272172,30/09/2018,products: EAI,pr4293,Accuvate initial work,Inactive,In Progress,"1,229",Stage 4
28585106,23/11/2018,products: Infrastructure Migration,pr4294,Achieve Storage,Inactive,In Progress,"20,475",Stage 3
31515815,23/08/2018,products: EAI,pr4295,respond to RFPA,Active,In Progress,100,Stage 1
59393604,01/06/2018,products: EAI,pr4296,ACT Premium enabled,Inactive,Completed,"1,000",Stage 1
19595119,01/03/2019,products: Infrastructure Migration,pr4297,ACT Premium enabled,Inactive,In Progress,"1,365",Stage 5
39292124,28/09/2018,products: EAI,pr4298,Managed Disk implementation,Inactive,In Progress,100,Stage 5
92323523,31/07/2019,products: Datacenter Migration,pr4299, Back Up And DR,Active,In Progress,"6,825",Stage 3
47474119,30/08/2019,products: Datacenter Migration,pr4300,Phase of Data Migration,Active,In Progress,"5,000",Stage 4
30606604,21/12/2018,products: Infrastructure Migration,pr4301,phase projects,Active,In Progress,"3,000",Stage 0
54949520,01/06/2019,products: Infrastructure Migration,pr4302,App Migration,Active,In Progress,"10,000",Stage 0
9797210,23/09/2019,products: Networking apps,pr4303,Managed Service ,Inactive,In Progress,"10,000",Stage 1
95353119,31/10/2019,products: Infrastructure Migration,pr4304,App Migration,Active,In Progress,"3,000",Stage 3
93939111,31/07/2018,products: EAI,pr4305,Managed Disks,Inactive,In Progress,800,Stage 4
70404109,01/08/2018,products: Networking apps,pr4306,Access to All users,Active,In Progress,"11,000",Stage 3
68888108,28/09/2018,products: Datacenter Migration,pr4307,Client onboarding,Active,In Progress,683,Stage 2
62222521,26/06/2019,products: Disaster Recovery,pr4308,App Migration,Inactive,Completed,500,Stage 1
70202603,31/01/2018,products: Infrastructure Migration,pr4309,Acceleration in Projects,Active,In Progress,"4,117",Stage 1
93939111,31/03/2018,products: Disaster Recovery,pr4310,Acceleration Transfer,Inactive,Blocked,"1,000",Stage 4
42525961,13/11/2016,products: Infrastructure Migration,pr4311,ACT Premium enabled,Active,In Progress,500,Stage 0
4545136,29/09/2017,products: Infrastructure Migration,pr4312,Managed Disks,Inactive,In Progress,300,Stage 0
93636603,30/03/2018,products: EAI,pr4313,App Migration,Active,In Progress,100,Stage 0
83535165,28/06/2019,products: EAI,pr4314,Manufacturing Images,Inactive,In Progress,800,Stage 0
47272619,01/09/2018,products: Disaster Recovery,pr4315,App Migration,Active,In Progress,"-54,600",Stage 2
12929521,05/02/2020,products: Datacenter Migration,pr4316,phase projects,-,-,"5,000",Stage 2
79797604,19/03/2018,products: SAP on Azure,pr4317,Managed Disks,Active,In Progress,"2,300",Stage 0
80808963,01/10/2019,products: Infrastructure Migration,pr4318,Managed Service ,Inactive,In Progress,"10,000",Stage 3
75252392,28/09/2018,products: EAI,pr4319,App production,Active,In Progress,100,Stage 3
84545141,31/12/2018,products: Infrastructure Migration,pr4320,Managed Disks,Active,In Progress,"5,460",Stage 1
54949520,06/02/2019,products: Datacenter Migration,pr4321,Accuvate initial work,Active,In Progress,"1,365",Stage 2
42121111,30/07/2019,products: Datacenter Migration,pr4322,App Sprint,Active,Blocked,"3,000",Stage 3
56161110,01/02/2018,products: Disaster Recovery,pr4323,respond to RFPA,Active,In Progress,137,Stage 5
83434594,30/03/2018,products: EAI,pr4324,Acceleration Transfer,Active,In Progress,100,Stage 0
88989184,22/11/2017,products: EAI,pr4325,Acceleration Transfer,Inactive,Completed,"2,865",Stage 2
57070137,01/10/2018,products: Infrastructure Migration,pr4326,Acceleration Transfer,Inactive,In Progress,"13,832",Stage 3
69393112,30/09/2019,products: Virtual Desktop,pr4327,phase projects,Active,In Progress,"5,000",Stage 3
98080522,30/08/2019,products: Datacenter Migration,pr4328,App Sprint,Active,In Progress,"4,095",Stage 1
42222153,04/12/2019,products: EAI,pr4329,Client onboarding,Inactive,In Progress,"9,000",Stage 2
61414132,31/12/2018,products: Infrastructure Migration,pr4330,Phase of Data Migration,Inactive,Completed,205,Stage 1
27777521,30/03/2018,products: EAI,pr4331,Phase of Data Migration,Active,In Progress,100,Stage 3
95353119,04/09/2018,Product: Big Data,Pr4332,App production,Active,In Progress,"2,048",Stage 3
71515614,30/05/2019,products: Disaster Recovery,pr4333,respond to RFPA,Inactive,Completed,"6,825",Stage 1
98080522,31/03/2019,products: Infrastructure Migration,pr4334,Account setup,Inactive,Completed,"1,500",Stage 3
79292522,31/12/2018,products: Infrastructure Migration,pr4335,Account set up,Active,Completed,"5,000",Stage 4
54343604,26/06/2019,products: Disaster Recovery,pr4336,Manufacturing Images,Active,In Progress,"5,000",Stage 0
93030968,01/09/2018,products: Infrastructure Migration,pr4337,phase projects,Inactive,Completed,"1,000",Stage 3
31515815,31/05/2019,products: Datacenter Migration,pr4338,ACT Premium enabled,Active,Blocked,500,Stage 0
81010132,21/03/2018,products: Infrastructure Migration,pr4339,Acceleration in Projects,Inactive,Completed,"20,000",Stage 1
38787160,22/04/2018,products: Infrastructure Migration,pr4340,Managed disks migration,Active,Blocked,"1,300",Stage 2
75858111,28/09/2018,products: Disaster Recovery,pr4341,Manufacturing Images,Active,In Progress,"1,365",Stage 1
55858521,04/03/2019,products: Infrastructure Migration,pr4342,phase projects,Active,In Progress,"3,464",Stage 3
12929521,17/05/2019,products: Disaster Recovery,pr4343,Accuvate initial work,Active,In Progress,"50,000",Stage 3
85555144,28/09/2018,products: Networking apps,pr4344,default method for experimentation,Inactive,In Progress,"1,000",Stage 4
99696211,30/05/2019,products: SAP on Azure,pr4345,ACT Premium enabled,Inactive,In Progress,"5,000",Stage 5
11616134,06/01/2020,products: Infrastructure Migration,pr4346,Manufacturing Images,Active,In Progress,"6,825",Stage 3
39595961,01/01/2019,products: Infrastructure Migration,pr4347,Managed disks migration,Inactive,Completed,"1,000",Stage 3
6060882,31/01/2018,products: EAI,pr4348,Account set up,Inactive,In Progress,870,Stage 1
95353119,30/04/2021,products: Infrastructure Migration,pr4349,Client onboarding,Active,In Progress,"64,000",Stage 2
99393521,31/10/2017,products: EAI,pr4350,respond to RFPA,Inactive,In Progress,"11,976",Stage 5
28282143,30/06/2018,products: Infrastructure Migration,pr4351,phase of migration,Inactive,In Progress,"10,000",Stage 0
70606112,28/06/2019,products: EAI,pr4352, Back Up And DR,Active,In Progress,800,Stage 2
53535951,30/11/2018,products: SAP on Azure,pr4353,Managed disks migration,Active,In Progress,"14,714",Stage 1
73737106,31/05/2019,products: EAI,pr4354,Client onboarding,Active,In Progress,"14,649",Stage 4
45555157,30/06/2018,products: Infrastructure Migration,pr4355,App Migration,Active,In Progress,"184,275",Stage 3
37878619,31/07/2018,products: EAI,pr4356,phase projects,Inactive,In Progress,"5,868",Stage 2
88989184,19/10/2017,products: EAI,pr4357,App Migration,Active,In Progress,"5,000",Stage 2
70505960,15/07/2020,products: EAI,pr4358,Client onboarding,Active,Blocked,"341,250",Stage 3
63636160,29/04/2019,products: EAI,pr4359,App production,Active,In Progress,500,Stage 0
54343132,18/06/2019,products: Infrastructure Migration,pr4360,respond to RFPA,Active,In Progress,"40,000",Stage 1
42525961,01/04/2018,products: Disaster Recovery,pr4361,respond to RFPA,Active,In Progress,300,Stage 4
22525115,31/08/2017,products: Infrastructure Migration,pr4362,phase projects,Active,In Progress,"10,000",Stage 5
70202603,31/12/2021,products: Infrastructure Migration,pr4363,phase projects,Active,In Progress,"75,964",Stage 3
68888108,04/03/2018,products: Infrastructure Migration,pr4364,App production,Active,In Progress,"1,200",Stage 1
78888604,15/05/2019,products: Infrastructure Migration,pr4365,Phase of Data Migration,Active,In Progress,"1,000",Stage 1
58484165,11/04/2018,products: Disaster Recovery,pr4366,Acceleration in Projects,Active,In Progress,"2,730",Stage 1
20202140,31/10/2019,products: Datacenter Migration,pr4367,default method for experimentation,Active,In Progress,"15,000",Stage 3
83737153,31/10/2018,products: Datacenter Migration,pr4368,Managed Service ,Inactive,Completed,"1,000",Stage 0
90404603,31/01/2019,products: Disaster Recovery,pr4369,Managed Disks,Active,In Progress,500,Stage 3
10101100,30/05/2019,products: Datacenter Migration,pr4370,App production,-,-,"5,000",Stage 2
28585106,26/04/2019,products: Infrastructure Migration,pr4371,Managed disks migration,Active,In Progress,"16,380",Stage 2
25858845,04/09/2018,products: Datacenter Migration,pr4372,Account set up,Active,Blocked,"3,413",Stage 5
12727521,30/04/2018,products: EAI,pr4373,Acceleration in Projects,Active,In Progress,100,Stage 0
32222153,29/08/2018,products: EAI,pr4374,App production,Active,In Progress,100,Stage 1
23636619,30/04/2018,products: EAI,pr4375,Account setup,-,-,100,Stage 1
18484129,31/08/2019,products: Datacenter Migration,pr4376,default method for experimentation,Active,In Progress,"50,000",Stage 4
99191119,31/03/2018,products: Disaster Recovery,pr4377,App Sprint,Active,In Progress,"13,650",Stage 4
10808965,30/05/2019,products: Infrastructure Migration,pr4378,Access to All users,Active,In Progress,"2,730",Stage 1
90101594,27/05/2019,products: Datacenter Migration,pr4379,App Migration,Inactive,Completed,"5,460",Stage 4
61717522,21/11/2018,products: EAI,pr4380,Acceleration Transfer,Active,In Progress,800,Stage 0
30606604,26/09/2019,products: Infrastructure Migration,pr4381,phase rollout,-,-,"10,238",Stage 5
1010124,26/04/2019,products: Infrastructure Migration,pr4382,Client onboarding,Inactive,In Progress,113,Stage 3
60303594,01/08/2019,products: Datacenter Migration,pr4383,Phase of Data Migration,Inactive,Completed,"2,000",Stage 1
67676520,01/05/2019,products: Infrastructure Migration,pr4384,Acceleration in Projects,Active,In Progress,"5,000",Stage 5
98585975,27/11/2018,products: Datacenter Migration,pr4385,Acceleration in Projects,Active,In Progress,"10,000",Stage 4
80303521,30/06/2019,products: Infrastructure Migration,pr4386,App Migration,Inactive,Completed,"4,095",Stage 4
35858152,23/03/2019,products: Azure Stack,pr4387,Accuvate initial work,Active,In Progress,"1,000",Stage 4
28282143,31/05/2019,products: EAI,pr4388,phase rollout,Active,In Progress,"3,000",Stage 1
49797521,31/05/2018,products: Infrastructure Migration,pr4389,Acceleration in Projects,Inactive,In Progress,"1,000",Stage 4
63333112,30/11/2017,products: Infrastructure Migration,pr4390,Acceleration Transfer,Active,In Progress,"1,000",Stage 2
78787111,29/03/2019,products: Infrastructure Migration,pr4391,App Migration,-,-,"6,825",Stage 1
79292522,31/05/2019,products: Datacenter Migration,pr4392,ACT Premium enabled,Active,Blocked,"1,365",Stage 2
71616520,30/06/2019,products: Infrastructure Migration,pr4393, Back Up And DR,Active,Blocked,"4,000",Stage 2
29494815,30/04/2018,products: EAI,pr4394,Managed Service ,Active,In Progress,100,Stage 2
90101594,30/04/2018,products: EAI,pr4395,App Migration,Active,In Progress,100,Stage 3
61010101,30/04/2018,products: EAI,pr4396,App Migration,Active,In Progress,100,Stage 0
12727521,11/12/2017,products: EAI,pr4397,Client onboarding,Active,In Progress,200,Stage 1
93939111,30/11/2018,products: EAI,pr4398,Managed Instance,Active,In Progress,"6,825",Stage 0
8686522,19/03/2019,products: Networking apps,pr4399,App production,-,-,"2,000",Stage 4
78989797,11/02/2018,products: Azure Stack,pr4400,Accuvate initial work,Active,In Progress,"11,832",Stage 1
27575106,31/12/2018,products: Infrastructure Migration,pr4401,Account set up,Active,In Progress,"5,000",Stage 0
99696209,30/11/2018,products: Disaster Recovery,pr4402,phase rollout,Active,In Progress,"1,000",Stage 1
70404109,10/06/2019,products: SAP on Azure,pr4403,Managed Disk implementation,Inactive,Completed,"102,286",Stage 5
60707119,28/02/2018,products: Infrastructure Migration,pr4404,phase rollout,Active,Blocked,"20,475",Stage 2
37878111,01/06/2019,products: Disaster Recovery,pr4405,Phase of Data Migration,Active,Completed,"2,730",Stage 0
55252101,16/12/2018,products: Networking apps,pr4406, Back Up And DR,Inactive,Completed,"6,500",Stage 3
84545141,01/02/2018,products: Infrastructure Migration,pr4407,Client onboarding,Active,In Progress,"1,500",Stage 0
82121111,31/03/2019,products: Networking apps,pr4408,phase of migration,Inactive,Completed,"6,825",Stage 4
79292522,30/06/2019,products: Datacenter Migration,pr4409,Managed Service ,Inactive,In Progress,"10,238",Stage 2
30606604,31/05/2019,products: Infrastructure Migration,pr4410,default method for experimentation,Active,In Progress,"1,000",Stage 3
90101594,30/04/2018,products: EAI,pr4411,Accuvate initial work,Inactive,Completed,100,Stage 4
32929524,18/06/2019,products: SAP on Azure,pr4412,respond to RFPA,Active,In Progress,"1,000",Stage 1
23737520,29/04/2019,products: Disaster Recovery,pr4413,Managed disks migration,-,-,"10,000",Stage 0
99696211,23/11/2017,products: EAI,pr4414,Managed Disks,Active,In Progress,"5,000",Stage 2
42222153,18/10/2019,products: Infrastructure Migration,pr4415,ACT Premium enabled,Active,In Progress,"3,000",Stage 4
82424132,30/04/2018,products: Infrastructure Migration,pr4416,Client onboarding,Inactive,In Progress,"3,000",Stage 3
70606112,31/07/2019,products: EAI,pr4417,respond to RFPA,Active,In Progress,"2,500",Stage 5
45353117,28/02/2018,products: Infrastructure Migration,pr4418,phase of migration,Active,In Progress,410,Stage 0
4545136,31/03/2018,products: Disaster Recovery,pr4419,Acceleration in Projects,Active,In Progress,700,Stage 5
70404109,01/09/2017,products: Infrastructure Migration,pr4420,App production,Inactive,In Progress,"1,000",Stage 0
90606141,27/02/2019,products: EAI,pr4421,Achieve Storage,-,-,"13,650",Stage 1
19292522,23/04/2019,products: High Performance Compute,pr4422,Manufacturing Images,Inactive,Completed,150,Stage 0
90101594,21/09/2018,products: Networking apps,pr4423,Acceleration Transfer,Inactive,In Progress,"1,365",Stage 4
27777521,28/06/2019,products: Disaster Recovery,pr4424,Achieve Storage,Active,In Progress,"9,000",Stage 1
82424185,31/01/2019,products: Datacenter Migration,pr4425,Managed Service ,Active,In Progress,"5,000",Stage 1
17878127,06/09/2019,products: Datacenter Migration,pr4426,Managed Disk implementation,Active,In Progress,"1,365",Stage 5
83737153,31/05/2018,products: Azure Stack,pr4427,Account setup,Inactive,In Progress,"2,730",Stage 4
90606141,28/06/2019,products: EAI,pr4428,respond to RFPA,Active,In Progress,100,Stage 5
32626963,15/06/2018,products: EAI,pr4429,Acceleration in Projects,Active,In Progress,800,Stage 4
28585106,30/09/2019,products: EAI,pr4430,Managed Instance,Inactive,Completed,683,Stage 4
29494815,15/06/2018,products: EAI,pr4431,Acceleration in Projects,Active,In Progress,800,Stage 5
83737161,12/06/2018,products: Azure Stack,pr4432, Back Up And DR,Inactive,Completed,500,Stage 2
3333165,15/06/2018,products: Disaster Recovery,pr4433,Managed disks migration,Active,In Progress,800,Stage 0
69999604,01/02/2018,products: SAP on Azure,pr4434,respond to RFPA,Active,In Progress,"6,825",Stage 4
92424523,31/01/2019,products: EAI,pr4435,respond to RFPA,Active,Blocked,"9,555",Stage 0
14747127,31/07/2018,products: Disaster Recovery,pr4436,phase projects,Inactive,Completed,"1,500",Stage 0
24848972,01/05/2018,products: EAI,pr4437,Acceleration in Projects,Inactive,In Progress,273,Stage 1
52626521,02/04/2018,products: Infrastructure Migration,pr4438,ACT Premium enabled,Active,In Progress,"2,500",Stage 3
14747127,31/01/2019,products: Infrastructure Migration,pr4439,Acceleration in Projects,Active,Blocked,"1,000",Stage 2
19191106,31/01/2018,products: EAI,pr4440, Back Up And DR,Active,In Progress,205,Stage 0
91313118,30/05/2019,products: Datacenter Migration,pr4441,Managed disks migration,Active,In Progress,"1,000",Stage 0
80303521,30/01/2019,products: EAI,pr4442,phase projects,Inactive,In Progress,"9,000",Stage 5
91111603,24/09/2018,products: High Performance Compute,pr4443,default method for experimentation,Active,Completed,"7,000",Stage 4
72828522,31/10/2017,products: Infrastructure Migration,pr4444,Acceleration in Projects,Active,In Progress,"1,000",Stage 4
58888977,30/04/2019,products: High Performance Compute,pr4445,Acceleration in Projects,Inactive,In Progress,"2,000",Stage 4
25555521,30/05/2019,products: Infrastructure Migration,pr4446,Managed Service ,Inactive,Completed,"1,000",Stage 4
82525143,29/12/2017,products: EAI,pr4447,Client onboarding,Active,In Progress,"1,000",Stage 3
89393974,29/06/2018,products: Disaster Recovery,pr4448,App production,Active,Blocked,500,Stage 1
63131124,30/03/2018,products: EAI,pr4449,Phase of Data Migration,Active,In Progress,100,Stage 2
96464132,30/03/2018,products: EAI,pr4450,phase projects,Active,In Progress,100,Stage 3
14343143,28/02/2017,products: Infrastructure Migration,pr4451,Account setup,Active,In Progress,809,Stage 2
8686522,13/02/2019,products: Networking apps,pr4452,respond to RFPA,Active,In Progress,"10,000",Stage 4
48787522,01/03/2018,products: High Performance Compute,pr4453,Managed Disks,Active,In Progress,137,Stage 0
89393119,30/03/2018,products: EAI,pr4454,Achieve Storage,Inactive,In Progress,100,Stage 1
61818619,03/05/2019,products: Datacenter Migration,pr4455,App production,Inactive,In Progress,341,Stage 5
72828522,28/02/2018,products: Disaster Recovery,pr4456,Managed disks migration,Active,In Progress,"1,000",Stage 3
72626521,31/08/2019,products: Disaster Recovery,pr4457,Access to All users,Inactive,In Progress,"1,365",Stage 0
80707184,30/04/2019,products: Networking apps,pr4458, Back Up And DR,Active,In Progress,"1,500",Stage 4
67676520,31/01/2018,products: EAI,pr4459,respond to RFPA,Active,In Progress,"2,000",Stage 2
70202603,15/09/2017,products: SAP on Azure,pr4460,Acceleration in Projects,Active,In Progress,"21,400",Stage 5
66363165,31/05/2019,products: Datacenter Migration,pr4461,phase of migration,Inactive,In Progress,"2,000",Stage 0
30707138,25/04/2019,products: EAI,pr4462,Manufacturing Images,Inactive,Completed,"68,250",Stage 2
74242614,25/08/2019,products: Networking apps,pr4463,respond to RFPA,Inactive,In Progress,"1,000",Stage 5
98080522,27/03/2020,products: EAI,pr4464,Managed Service ,Active,Completed,"54,600",Stage 5
90404603,28/02/2018,products: Infrastructure Migration,pr4465,Client onboarding,Inactive,In Progress,"1,365",Stage 3
72424520,30/03/2018,products: EAI,pr4466,Manufacturing Images,Active,In Progress,100,Stage 3
53939152,01/03/2019,products: Datacenter Migration,pr4467, Back Up And DR,Active,In Progress,"14,271",Stage 1
99696209,01/09/2018,products: Networking apps,pr4468,ACT Premium enabled,-,-,"20,000",Stage 1
3333165,25/04/2019,products: High Performance Compute,pr4469,phase projects,Inactive,In Progress,"60,000",Stage 5
63333112,31/07/2019,products: Infrastructure Migration,pr4470,Phase of Data Migration,Active,In Progress,"25,000",Stage 1
76262802,30/09/2019,products: Datacenter Migration,pr4471,Account set up,Active,In Progress,"5,460",Stage 2
61717156,31/10/2018,products: EAI,pr4472,Acceleration in Projects,Active,In Progress,100,Stage 1
6060882,04/06/2018,products: Infrastructure Migration,pr4473,Client onboarding,-,-,"4,000",Stage 5
72828522,28/09/2018,products: Disaster Recovery,pr4474,Acceleration in Projects,Active,In Progress,"20,000",Stage 3
55252101,05/06/2018,products: EAI,pr4475,Account set up,Active,In Progress,"5,000",Stage 2
8686141,01/11/2017,products: EAI,pr4476,Acceleration in Projects,Inactive,Completed,"5,000",Stage 1
41818594,01/05/2018,products: Infrastructure Migration,pr4477,default method for experimentation,Active,In Progress,683,Stage 4
48787954,31/10/2018,products: EAI,pr4478,phase projects,Inactive,In Progress,"2,000",Stage 0
89393974,30/11/2018,products: EAI,pr4479,Access to All users,Active,In Progress,750,Stage 1
97171523,25/07/2019,products: Datacenter Migration,pr4480,Managed Instance,Active,In Progress,"17,745",Stage 2
84646110,30/03/2018,products: EAI,pr4481,Managed Disk implementation,Inactive,Completed,"9,900",Stage 4
12929521,30/11/2018,products: Infrastructure Migration,pr4482,Phase of Data Migration,Inactive,Completed,"5,000",Stage 3
70202603,02/03/2018,products: EAI,pr4483,Managed Service ,Active,In Progress,"4,915",Stage 5
70404109,01/07/2019,products: Infrastructure Migration,pr4484,Acceleration Transfer,Active,In Progress,"7,000",Stage 2
14747127,30/09/2019,products: Disaster Recovery,pr4485,App Sprint,Inactive,Completed,"3,000",Stage 1
12727521,30/03/2019,products: Datacenter Migration,pr4486,respond to RFPA,Active,In Progress,"8,000",Stage 5
68484165,01/02/2019,products: Infrastructure Migration,pr4487,App Sprint,Active,In Progress,"1,000",Stage 3
68989111,30/06/2018,products: Disaster Recovery,pr4488,Managed Disks,Inactive,In Progress,"12,968",Stage 5
95656127,29/08/2018,products: EAI,pr4489,phase of migration,Active,In Progress,100,Stage 5
61212520,31/10/2018,products: EAI,pr4490,Achieve Storage,Active,In Progress,"1,000",Stage 3
70505960,31/10/2017,products: EAI,pr4491,phase rollout,Inactive,In Progress,"3,000",Stage 1
12828111,01/05/2018,products: Datacenter Migration,pr4492,Managed Instance,Active,In Progress,"35,000",Stage 2
12828111,29/09/2019,products: SAP on Azure,pr4493,phase of migration,-,-,"14,000",Stage 3
85555153,31/01/2018,products: Disaster Recovery,pr4494,respond to RFPA,Active,In Progress,"1,000",Stage 2
33030521,31/10/2019,products: SAP on Azure,pr4495,Managed Disks,Active,In Progress,"68,250",Stage 1
39494140,31/01/2018,products: Disaster Recovery,pr4496,phase rollout,Inactive,Completed,"1,000",Stage 3
67676520,26/10/2018,products: EAI,pr4497,ACT Premium enabled,Active,In Progress,"1,365",Stage 2
63636160,19/09/2019,products: Infrastructure Migration,pr4498,respond to RFPA,Active,In Progress,"10,238",Stage 4
63333112,31/12/2018,products: Datacenter Migration,pr4499,ACT Premium enabled,Active,In Progress,"21,840",Stage 3
78484119,31/08/2020,products: Infrastructure Migration,pr4500,App Sprint,Active,In Progress,"110,000",Stage 2
22525845,28/09/2018,products: Infrastructure Migration,pr4501,default method for experimentation,Inactive,In Progress,"1,365",Stage 3
89393119,12/03/2019,products: Datacenter Migration,pr4502,ACT Premium enabled,Inactive,In Progress,"3,000",Stage 5
39292124,30/09/2018,products: EAI,pr4503,Access to All users,Active,Blocked,"38,220",Stage 0
38686966,05/11/2018,products: Networking apps,pr4504,Accuvate initial work,Inactive,Completed,800,Stage 5
95656127,11/08/2017,products: EAI,pr4505,Client onboarding,Active,Blocked,"11,440",Stage 5
92323523,30/04/2019,products: Infrastructure Migration,pr4506,Accuvate initial work,Inactive,Blocked,"5,460",Stage 3
70202109,30/04/2018,products: EAI,pr4507,ACT Premium enabled,Inactive,In Progress,100,Stage 2
72828522,28/09/2018,products: EAI,pr4508,Acceleration in Projects,Inactive,Blocked,"6,000",Stage 1
82424111,30/04/2018,products: EAI,pr4509,App Sprint,Active,In Progress,100,Stage 4
69898614,30/08/2019,products: Infrastructure Migration,pr4510,App production,Inactive,In Progress,"10,000",Stage 2
97878594,28/02/2019,products: Infrastructure Migration,pr4511,App Migration,Inactive,In Progress,461,Stage 4
61919160,31/10/2018,products: EAI,pr4512,Account setup,Active,In Progress,"13,650",Stage 0
23535619,31/12/2018,products: Disaster Recovery,pr4513,Phase of Data Migration,Active,In Progress,"2,000",Stage 4
10101100,28/12/2017,products: EAI,pr4514,Manufacturing Images,Inactive,In Progress,"3,413",Stage 3
10101100,17/07/2019,products: Disaster Recovery,pr4515,default method for experimentation,Active,In Progress,"2,000",Stage 3
82222183,31/12/2018,products: Infrastructure Migration,pr4516,phase of migration,Active,In Progress,"5,000",Stage 5
91111110,31/10/2018,products: Infrastructure Migration,pr4517,Acceleration Transfer,Active,In Progress,"1,000",Stage 2
12828111,31/05/2019,products: Datacenter Migration,pr4518,Accuvate initial work,Inactive,In Progress,"8,190",Stage 5
41313520,31/12/2017,products: EAI,pr4519,Client onboarding,Inactive,In Progress,400,Stage 2
38282521,28/03/2019,products: EAI,pr4520,App Migration,Inactive,In Progress,"4,718",Stage 1
91616106,30/09/2018,products: EAI,pr4521,App Sprint,Inactive,Completed,"1,500",Stage 4
37878521,01/12/2019,products: Disaster Recovery,pr4522,ACT Premium enabled,Active,In Progress,300,Stage 4
89393974,31/03/2019,products: SAP on Azure,pr4523,Account setup,Inactive,Completed,"7,500",Stage 0
98585975,27/06/2017,products: EAI,pr4524,Managed Disk implementation,Active,In Progress,100,Stage 0
303143,30/10/2018,products: Infrastructure Migration,pr4525,App production,Inactive,In Progress,500,Stage 0
39292124,25/04/2019,products: Datacenter Migration,pr4526,Phase of Data Migration,Active,In Progress,"6,825",Stage 1
90101594,30/04/2018,products: EAI,pr4527,Account setup,Active,In Progress,100,Stage 0
15959132,31/12/2018,products: EAI,pr4528,Accuvate initial work,Active,In Progress,"5,000",Stage 2
96464132,28/11/2018,products: EAI,pr4529,Acceleration in Projects,Active,In Progress,"1,000",Stage 0
31515815,31/12/2018,products: Infrastructure Migration,pr4530,default method for experimentation,Inactive,Completed,"50,000",Stage 2
55252101,30/06/2019,products: Disaster Recovery,pr4531,App Sprint,Active,In Progress,"1,000",Stage 4
56666156,31/03/2019,products: Infrastructure Migration,pr4532,phase rollout,-,-,"2,500",Stage 1
79292960,09/11/2018,products: Datacenter Migration,pr4533,Managed disks migration,Inactive,Completed,956,Stage 2
18080129,30/04/2019,products: Datacenter Migration,pr4534,Managed Disks,Active,In Progress,683,Stage 2
82424185,31/05/2018,products: EAI,pr4535,Managed Disk implementation,Active,Completed,"11,167",Stage 3
41313520,14/06/2019,products: Infrastructure Migration,pr4536,App production,-,-,"1,000",Stage 1
99595119,30/04/2018,products: EAI,pr4537,App Sprint,Active,In Progress,100,Stage 4
23232619,12/11/2018,products: High Performance Compute,pr4538,ACT Premium enabled,Active,In Progress,"5,000",Stage 3
23333619,31/12/2018,products: EAI,pr4539,Managed Disks,Active,In Progress,"4,095",Stage 4
23636619,30/03/2018,products: EAI,pr4540,Account set up,-,-,100,Stage 1
39292124,01/04/2019,products: EAI,pr4541,Managed Disk implementation,Active,In Progress,500,Stage 3
54747520,27/11/2018,products: EAI,pr4542,Managed Disk implementation,Inactive,In Progress,"12,000",Stage 4
92323523,31/05/2018,products: Infrastructure Migration,pr4543,App production,Inactive,Completed,"14,000",Stage 3
68181140,20/02/2018,products: EAI,pr4544,Account set up,Inactive,In Progress,"5,000",Stage 5
39494140,28/02/2018,products: EAI,pr4545,default method for experimentation,-,-,"2,000",Stage 5
46363521,30/04/2019,products: Disaster Recovery,pr4546,Managed Disks,Inactive,Completed,"1,365",Stage 3
58686103,27/10/2017,products: Infrastructure Migration,pr4547,App Sprint,Active,In Progress,"1,365",Stage 3
54343132,30/04/2018,products: Azure Stack,pr4548,Phase of Data Migration,Active,In Progress,100,Stage 2
69797108,30/08/2019,products: Disaster Recovery,pr4549,App Sprint,Inactive,In Progress,"1,000",Stage 1
30606604,29/06/2018,products: EAI,pr4550,Account set up,Active,In Progress,"3,413",Stage 2
26565108,30/06/2019,products: EAI,pr4551,Account setup,Active,In Progress,"7,000",Stage 1
23232619,30/11/2018,products: Datacenter Migration,pr4552,Phase of Data Migration,Active,In Progress,"5,000",Stage 2
